2025-11-13_14-22-57 | Reached لمبة 7-back
2025-11-13_14-22-57 | Target لمبة 8: rel N=-138.7, E=288.6
2025-11-13_14-22-57 | → Fly to لمبة 8-cruise: N=-138.7, E=288.6, D=-35.0, yaw=261.2
2025-11-13_14-23-03 | Reached لمبة 8-cruise
2025-11-13_14-23-03 | → Fly to لمبة 8-cap: N=-138.7, E=288.6, D=-15.0, yaw=261.2
2025-11-13_14-23-03 | Reached لمبة 8-cap
2025-11-13_14-23-03 | Holding 15s…
2025-11-13_14-23-18 | Camera error لمبة 8
2025-11-13_14-23-18 | → Fly to لمبة 8-back: N=-138.7, E=288.6, D=-35.0, yaw=261.2
2025-11-13_14-23-18 | Reached لمبة 8-back
2025-11-13_14-23-18 | Target محطة شحن 1: rel N=155.0, E=207.0
2025-11-13_14-23-18 | → Fly to محطة شحن 1-cruise: N=155.0, E=207.0, D=-35.0, yaw=344.5
2025-11-13_14-23-45 | Reached محطة شحن 1-cruise
2025-11-13_14-23-45 | → Fly to محطة شحن 1-cap: N=155.0, E=207.0, D=-15.0, yaw=344.5
2025-11-13_14-23-45 | Reached محطة شحن 1-cap
2025-11-13_14-23-45 | Holding 15s…
2025-11-13_14-24-00 | Camera error محطة شحن 1
2025-11-13_14-24-00 | → Fly to محطة شحن 1-back: N=155.0, E=207.0, D=-35.0, yaw=344.5
2025-11-13_14-24-00 | Reached محطة شحن 1-back
2025-11-13_14-24-00 | Target محطة شحن 2: rel N=99.5, E=-132.2
2025-11-13_14-24-00 | → Fly to محطة شحن 2-cruise: N=99.5, E=-132.2, D=-35.0, yaw=260.7
2025-11-13_14-24-31 | Reached محطة شحن 2-cruise
2025-11-13_14-24-31 | → Fly to محطة شحن 2-cap: N=99.5, E=-132.2, D=-15.0, yaw=260.7
2025-11-13_14-24-31 | Reached محطة شحن 2-cap
2025-11-13_14-24-31 | Holding 15s…
2025-11-13_14-24-46 | Camera error محطة شحن 2
2025-11-13_14-24-46 | → Fly to محطة شحن 2-back: N=99.5, E=-132.2, D=-35.0, yaw=260.7
2025-11-13_14-24-46 | Reached محطة شحن 2-back
2025-11-13_14-24-46 | Target محطة شحن 3: rel N=111.6, E=-108.3
2025-11-13_14-24-46 | → Fly to محطة شحن 3-cruise: N=111.6, E=-108.3, D=-35.0, yaw=63.2
2025-11-13_14-24-50 | Reached محطة شحن 3-cruise
2025-11-13_14-24-50 | → Fly to محطة شحن 3-cap: N=111.6, E=-108.3, D=-15.0, yaw=63.2
2025-11-13_14-24-50 | Reached محطة شحن 3-cap
2025-11-13_14-24-50 | Holding 15s…
2025-11-13_14-25-05 | Camera error محطة شحن 3
2025-11-13_14-25-05 | → Fly to محطة شحن 3-back: N=111.6, E=-108.3, D=-35.0, yaw=63.2
2025-11-13_14-25-05 | Reached محطة شحن 3-back
2025-11-13_14-25-05 | Target محطة شحن 4: rel N=89.9, E=-96.8
2025-11-13_14-25-05 | → Fly to محطة شحن 4-cruise: N=89.9, E=-96.8, D=-35.0, yaw=152.2
2025-11-13_14-25-08 | Reached محطة شحن 4-cruise
2025-11-13_14-25-08 | → Fly to محطة شحن 4-cap: N=89.9, E=-96.8, D=-15.0, yaw=152.2
2025-11-13_14-25-08 | Reached محطة شحن 4-cap
2025-11-13_14-25-08 | Holding 15s…
2025-11-13_14-25-23 | Camera error محطة شحن 4
2025-11-13_14-25-23 | → Fly to محطة شحن 4-back: N=89.9, E=-96.8, D=-35.0, yaw=152.2
2025-11-13_14-25-23 | Reached محطة شحن 4-back
2025-11-13_14-25-23 | Target اللوح 1: rel N=203.8, E=-50.9
2025-11-13_14-25-23 | → Fly to اللوح 1-cruise: N=203.8, E=-50.9, D=-35.0, yaw=22.0
2025-11-13_14-25-35 | Reached اللوح 1-cruise
2025-11-13_14-25-35 | → Fly to اللوح 1-cap: N=203.8, E=-50.9, D=-15.0, yaw=22.0
2025-11-13_14-25-35 | Reached اللوح 1-cap
2025-11-13_14-25-35 | Holding 15s…
2025-11-13_14-25-50 | Camera error اللوح 1
2025-11-13_14-25-50 | → Fly to اللوح 1-back: N=203.8, E=-50.9, D=-35.0, yaw=22.0
2025-11-13_14-25-50 | Reached اللوح 1-back
2025-11-13_14-25-50 | Target اللوح 2: rel N=201.2, E=-47.2
2025-11-13_14-25-50 | → Fly to اللوح 2-cruise: N=201.2, E=-47.2, D=-35.0, yaw=124.7
2025-11-13_14-25-50 | Reached اللوح 2-cruise
2025-11-13_14-25-50 | → Fly to اللوح 2-cap: N=201.2, E=-47.2, D=-15.0, yaw=124.7
2025-11-13_14-25-50 | Reached اللوح 2-cap
2025-11-13_14-25-50 | Holding 15s…
2025-11-13_14-26-05 | Camera error اللوح 2
2025-11-13_14-26-05 | → Fly to اللوح 2-back: N=201.2, E=-47.2, D=-35.0, yaw=124.7
2025-11-13_14-26-05 | Reached اللوح 2-back
2025-11-13_14-26-05 | Target اللوح 3: rel N=205.6, E=-43.2
2025-11-13_14-26-05 | → Fly to اللوح 3-cruise: N=205.6, E=-43.2, D=-35.0, yaw=42.3
2025-11-13_14-26-06 | Reached اللوح 3-cruise
2025-11-13_14-26-06 | → Fly to اللوح 3-cap: N=205.6, E=-43.2, D=-15.0, yaw=42.3
2025-11-13_14-26-06 | Reached اللوح 3-cap
2025-11-13_14-26-06 | Holding 15s…
2025-11-13_14-26-21 | Camera error اللوح 3
2025-11-13_14-26-21 | → Fly to اللوح 3-back: N=205.6, E=-43.2, D=-35.0, yaw=42.3
2025-11-13_14-26-21 | Reached اللوح 3-back
2025-11-13_14-26-21 | Target اللوح 4: rel N=203.1, E=-39.3
2025-11-13_14-26-21 | → Fly to اللوح 4-cruise: N=203.1, E=-39.3, D=-35.0, yaw=122.2
2025-11-13_14-26-21 | Reached اللوح 4-cruise
2025-11-13_14-26-21 | → Fly to اللوح 4-cap: N=203.1, E=-39.3, D=-15.0, yaw=122.2
2025-11-13_14-26-21 | Reached اللوح 4-cap
2025-11-13_14-26-21 | Holding 15s…
2025-11-13_14-26-36 | Camera error اللوح 4
2025-11-13_14-26-36 | → Fly to اللوح 4-back: N=203.1, E=-39.3, D=-35.0, yaw=122.2
2025-11-13_14-26-36 | Reached اللوح 4-back
2025-11-13_14-26-36 | Target اللوح 5: rel N=197.8, E=-52.0
